,path,name
0,/user/logout,0.1701679229736328
0,/user/valid-session,0.0010814666748046875
0,/user/login,0.7055566310882568
0,/get-courses,0.0022819042205810547
0,/user/stats/history,0.004823446273803711
0,/stats/leaderboard,0.0015234947204589844
0,/get-courses,0.001501321792602539
0,/start-work,0.09102272987365723
0,/get-courses,0.0017609596252441406
0,/user/stats/history,0.0038619041442871094
0,/stop-work,0.1643354892730713
0,/get-courses,0.0015654563903808594
0,/start-work,0.09460759162902832
0,/working/update-time,0.09977889060974121
0,/get-courses,0.001636505126953125
0,/user/stats/history,0.0038225650787353516
0,/working/update-time,0.10266757011413574
0,/working/update-time,0.10175919532775879
0,/user/login,0.7185487747192383
0,/user/login,0.0010557174682617188
0,/get-courses,0.0017626285552978516
0,/user/login,0.0014460086822509766
0,/user/login,0.0011467933654785156
0,/working/update-time,0.12670373916625977
0,/user/valid-session,0.001859426498413086
0,/get-courses,0.001463174819946289
0,/user-validate,0.7098438739776611
0,/stats/leaderboard,0.0012536048889160156
0,/user/login,0.0009877681732177734
0,/user/stats/history,0.01682114601135254
0,/user/login,0.0011208057403564453
0,/stats/leaderboard,0.0009932518005371094
0,/user-validate,0.7937331199645996
0,/user-validate,0.7226369380950928
0,/user/login,0.7603344917297363
0,/user/stats/history,0.003601551055908203
0,/get-courses,0.0015330314636230469
0,/get-courses,0.0016934871673583984
0,/user-validate,0.7536768913269043
0,/stats/leaderboard,0.0016696453094482422
0,/user/login,0.7335197925567627
0,/get-courses,0.0022003650665283203
0,/stats/leaderboard,0.0011169910430908203
0,/user/login,0.7623646259307861
0,/working/update-time,0.09872817993164062
0,/get-courses,0.0015938282012939453
0,/user/login,0.7618765830993652
0,/get-courses,0.001783132553100586
0,/stats/leaderboard,0.0012149810791015625
0,/get-courses,0.001565694808959961
0,/get-courses,0.0016486644744873047
0,/user/login,0.0011208057403564453
0,/working/update-time,0.10107016563415527
0,/user/login,0.001096963882446289
0,/stop-work,0.19832468032836914
0,/user-validate,0.6999247074127197
0,/get-courses,0.0016286373138427734
0,/user/stats/history,0.0043621063232421875
0,/stats/leaderboard,0.0011811256408691406
0,/user/info,0.015721559524536133
0,/stats/leaderboard,0.002341747283935547
0,/user/login,0.7990696430206299
0,/get-courses,0.002840757369995117
0,/get-courses,0.0015480518341064453
0,/user/login,0.0015716552734375
0,/user/login,0.0011203289031982422
0,/start-work,0.13779592514038086
0,/user/login,0.0010538101196289062
0,/courses,0.0009002685546875
0,/user/valid-session,0.0013370513916015625
0,/stop-work,0.2607734203338623
0,/get-courses,0.0018053054809570312
0,/courses,0.0008587837219238281
0,/courses,0.0016989707946777344
0,/courses,0.004647970199584961
0,/courses,0.001138925552368164
0,/courses,0.0011484622955322266
0,/get-courses,0.0016241073608398438
0,/courses,0.0012044906616210938
0,/courses,0.00084686279296875
0,/get-courses,0.001730203628540039
0,/get-courses,0.0015816688537597656
0,/start-work,0.09382772445678711
0,/courses,0.0009846687316894531
0,/stop-work,0.3238685131072998
0,/get-courses,0.00156402587890625
0,/stats/leaderboard,0.001049041748046875
0,/stats/leaderboard,0.0010218620300292969
0,/get-courses,0.002236604690551758
0,/start-work,0.09462857246398926
0,/user-validate,0.7311537265777588
0,/user/stats/history,0.0033521652221679688
0,/get-courses,0.0015723705291748047
0,/get-courses,0.0015189647674560547
0,/courses,0.0008609294891357422
0,/user/stats/history,0.0036156177520751953
0,/user/login,0.7505502700805664
0,/courses,0.0008330345153808594
0,/user/info,0.0022695064544677734
0,/get-courses,0.0017592906951904297
0,/courses,0.0009558200836181641
0,/courses,0.0014336109161376953
0,/get-courses,0.0018095970153808594
0,/start-work,0.19452834129333496
0,/user/valid-session,0.0015270709991455078
0,/user/valid-session,0.0018372535705566406
0,/stop-work,0.16769671440124512
0,/get-courses,0.0024194717407226562
0,/stats/leaderboard,0.0011417865753173828
0,/get-courses,0.0020728111267089844
0,/get-courses,0.0015387535095214844
0,/courses,0.0009725093841552734
