,path,name
0,/stop-work,0.23004579544067383
0,/working/update-time,0.07285332679748535
0,/get-courses,0.0018191337585449219
0,/start-work,0.07741403579711914
0,/working/update-time,0.1402301788330078
0,/user/login,0.6056199073791504
0,/user/login,0.6364490985870361
0,/user/login,0.663419246673584
0,/stop-work,0.16900253295898438
0,/get-courses,0.0015151500701904297
0,/working/update-time,0.0989830493927002
0,/stats/leaderboard,0.0010404586791992188
0,/working/update-time,0.09243345260620117
0,/user/info,0.0033516883850097656
0,/courses,0.0009756088256835938
0,/courses,0.0011899471282958984
0,/get-courses,0.0015645027160644531
0,/working/update-time,0.12534332275390625
0,/stop-work,0.26302123069763184
0,/start-work,0.08507585525512695
0,/get-courses,0.0018548965454101562
0,/stats/leaderboard,0.001104593276977539
0,/working/update-time,0.20354580879211426
0,/get-courses,0.0027968883514404297
0,/get-courses,0.0015790462493896484
0,/user/info,0.0024607181549072266
0,/stats/leaderboard,0.0010333061218261719
0,/user/update/time,0.00022459030151367188
0,/user/stats/history,0.0036089420318603516
0,/working/update-time,0.11705827713012695
0,/courses,0.0008828639984130859
0,/courses,0.0009665489196777344
0,/get-courses,0.0015625953674316406
0,/get-courses,0.0015747547149658203
0,/courses,0.0008594989776611328
0,/working/update-time,0.11859512329101562
0,/stats/leaderboard,0.001596212387084961
0,/working/update-time,0.12869668006896973
0,/working/update-time,0.08579683303833008
0,/working/update-time,0.1450207233428955
0,/working/update-time,0.12795233726501465
0,/working/update-time,0.15004730224609375
