Name of resource,Description,About,Syllabus,Link,Notes,Weekly time commitment-low(hours),Weekly time commitment-high(hours),Length of course(weeks),Number of hours (total)
Design thinking for innovation,"In this course, we provide an overview of design thinking and work with a model containing four key questions and several tools to help you understand design thinking as a problem solving approach. ",,,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,Beginners,2,,5,
Introduction to UI Design,"In this course, you will gain an understanding of the critical importance of user interface design.",,,https://www.coursera.org/learn/ui-design?recoOrder=24&utm_medium=email&utm_source=recommendations&utm_campaign=recommendationsEmail~recs_email~2017-06-19,Beginners,3,8,4,
UX design for mobile developers,This course is optimized for the developer who is looking to efficiently learn the most important design techniques that will help them make better apps (with a focus on mobile/Android).,,,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849?utm_medium=referral&utm_campaign=api,Beginner,5,,6,
