Name of resource,Description,About,Syllabus,Link,Notes,Weekly time commitment,Length of course
YC Startup School ,Startup School is a free 10-week massively open online course (MOOC),"Raising money, managing teams, PR, product/market fit/how to get users and grow","How and Why to Start A Startup, Startup Mechanics, How to Get Ideas and How to Measure, How to Build a Great Product, How to Get Users and Grow, How to Find Product Market Fit, How to Think About PR, How to Invent the Future.
",https://www.startupschool.org/,,60 minutes,10 weeks,
How to build a startup,"In an introduction to the basics of the famous Customer Development Process, Steve Blank provides insight into the key steps needed to build a successful startup.","In an introduction to the basics of the famous Customer Development Process, Steve Blank provides insight into the key steps needed to build a successful startup.","
",https://www.class-central.com/mooc/461/udacity-how-to-build-a-startup,Self paced,6 hours a week,4 weeks,
Business model canvas,"In this project-centered course*, you will use the Business Model Canvas innovation tool to approach either a personal or corporate challenge or opportunity. ","You’ll learn to identify and communicate the nine key elements of a business model: Customer Segments, Value Proposition, Channels, Customer Relationships, Key Resources, Key Activities, Key Partners, Revenue Streams, and Cost Structure.",,https://www.coursera.org/learn/business-model-canvas?recoOrder=26&utm_medium=email&utm_source=recommendations&utm_campaign=recommendationsEmail~recs_email~2017-06-19,,1-2 hours,8 weeks,
Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,This course assists aspiring and active entrepreneurs in developing great ideas into great companies. W,"Using proven content, methods, and models for new venture opportunity assessment and analysis, you will learn how to Identify and analyze entrepreneurial opportunities, enhance your entrepreneurial mindset, Improve your strategic decision-making; and build innovative business models.",,https://www.coursera.org/learn/innovative-ideas?recoOrder=10&utm_medium=email&utm_source=recommendations&utm_campaign=recommendationsEmail~recs_email~2017-06-26,,3-5 hours per week,4 weeks,
